,0
262522,569.0
210297,541.0
208993,477.0
452260,506.0
253516,571.0
337997,562.0
39894,508.0
23794,520.0
84328,561.0
221882,618.0
353044,557.0
48591,629.0
62659,543.0
388078,624.0
210302,561.0
427453,630.0
391090,508.0
113072,614.0
161680,485.0
441311,519.0
252098,648.0
172547,584.0
294790,535.0
4100,551.0
323208,565.0
164938,550.0
228676,539.0
379613,562.0
123758,595.0
273046,582.0
419227,565.0
2315,518.0
332069,550.0
107899,481.0
461101,496.0
316802,619.0
183594,647.0
431013,649.0
106950,522.0
370410,561.0
64273,524.0
216876,483.0
153279,481.0
402874,548.0
456718,571.0
45347,492.0
144431,508.0
323379,504.0
180284,604.0
309792,558.0
384145,510.0
221614,516.0
408767,539.0
301056,568.0
63216,544.0
216649,493.0
74270,579.0
299126,523.0
457079,544.0
307089,564.0
107652,600.0
349237,594.0
442612,509.0
280981,577.0
393122,565.0
16133,575.0
309485,578.0
204431,520.0
282108,514.0
91115,580.0
450545,600.0
106831,437.0
140415,606.0
2663,489.0
441476,546.0
318686,560.0
367636,613.0
328820,605.0
338674,538.0
143560,583.0
82691,529.0
120851,484.0
354071,579.0
129446,533.0
393260,562.0
234326,550.0
196806,556.0
379475,533.0
440052,508.0
84479,597.0
135869,604.0
147060,622.0
457536,570.0
407044,524.0
341601,570.0
329121,588.0
139877,539.0
438436,562.0
215855,530.0
450576,586.0
14553,513.0
9710,537.0
396521,510.0
225113,509.0
197369,562.0
222650,549.0
25424,536.0
439921,525.0
456545,561.0
363127,481.0
453243,504.0
466029,557.0
194123,592.0
245283,554.0
368983,510.0
4884,521.0
298180,501.0
66086,600.0
24094,514.0
57631,592.0
200351,545.0
33247,532.0
247840,574.0
326709,532.0
243765,492.0
408043,501.0
361620,561.0
143048,651.0
186828,587.0
163015,532.0
121165,597.0
210512,561.0
329412,542.0
114593,569.0
205711,483.0
9230,492.0
307906,632.0
420440,490.0
268197,532.0
101492,546.0
271426,497.0
455814,548.0
299413,562.0
321251,538.0
363079,583.0
440854,540.0
172247,577.0
102346,560.0
389046,579.0
90766,558.0
128258,494.0
404115,518.0
72387,594.0
416305,507.0
71278,542.0
264454,569.0
145429,503.0
148782,494.0
259582,523.0
388255,638.0
156918,547.0
85563,556.0
202783,497.0
360117,567.0
330016,632.0
221107,544.0
276674,597.0
168570,506.0
424154,533.0
242495,505.0
63295,570.0
299082,566.0
390034,562.0
448128,562.0
278953,549.0
262392,550.0
323973,544.0
454644,555.0
105130,673.0
209123,532.0
220336,597.0
155230,539.0
393913,478.0
129367,484.0
228060,547.0
331839,548.0
193638,478.0
185614,574.0
107974,559.0
456124,555.0
59928,630.0
121286,541.0
349208,540.0
105064,551.0
377229,605.0
187420,495.0
151346,587.0
332510,613.0
223161,518.0
78588,636.0
54174,587.0
428531,578.0
438416,672.0
316263,552.0
230964,497.0
160693,490.0
359750,530.0
90115,572.0
225194,592.0
89718,568.0
216537,550.0
389997,558.0
258215,527.0
180196,502.0
420583,490.0
39194,561.0
320027,582.0
300000,605.0
313355,558.0
441559,524.0
101879,476.0
36991,516.0
180450,550.0
340339,560.0
105018,551.0
361555,541.0
357263,575.0
444434,617.0
16648,540.0
277780,573.0
445735,499.0
87373,466.0
414267,557.0
156132,519.0
312882,526.0
395710,606.0
347739,556.0
305683,665.0
197048,488.0
419873,571.0
443321,531.0
413922,552.0
48147,507.0
112804,623.0
262776,630.0
18334,501.0
119156,585.0
457695,547.0
198206,545.0
296701,585.0
345822,552.0
129626,483.0
432672,550.0
410687,616.0
132186,504.0
464457,578.0
200478,497.0
327106,583.0
312284,528.0
330168,561.0
390906,547.0
304245,560.0
324410,654.0
368714,535.0
151095,551.0
372067,500.0
276553,553.0
157420,494.0
302447,454.0
211399,508.0
416177,553.0
282838,554.0
341265,547.0
364882,544.0
242433,529.0
68656,503.0
111386,490.0
348720,642.0
229388,622.0
297630,583.0
450586,553.0
393096,512.0
48174,572.0
106762,551.0
389535,508.0
174601,545.0
269532,566.0
154817,509.0
159495,557.0
339766,568.0
28212,490.0
397933,432.0
46418,574.0
224676,525.0
432024,591.0
124742,502.0
456641,571.0
283904,545.0
109825,496.0
384533,499.0
161978,600.0
414610,509.0
155314,524.0
103368,595.0
183136,556.0
26691,529.0
140617,398.0
245325,576.0
181030,607.0
362248,584.0
260081,576.0
336555,513.0
357770,595.0
265459,578.0
246387,566.0
305736,429.0
9802,565.0
317997,564.0
120652,508.0
374737,599.0
84629,490.0
324585,556.0
117121,550.0
109551,503.0
111015,539.0
290614,556.0
229668,541.0
101391,586.0
437765,553.0
346405,538.0
12892,522.0
62168,518.0
229392,548.0
302336,617.0
420017,627.0
356276,547.0
45334,532.0
420330,555.0
315618,545.0
150477,495.0
102409,595.0
248064,552.0
228433,629.0
64655,507.0
79953,489.0
236216,515.0
293280,575.0
98919,542.0
257184,588.0
26448,507.0
4560,548.0
424283,474.0
327802,557.0
430448,567.0
17881,615.0
300762,576.0
131547,631.0
379749,585.0
291446,548.0
151458,452.0
117505,499.0
84378,515.0
324428,526.0
407417,484.0
194804,488.0
63123,506.0
259052,560.0
136158,580.0
59009,499.0
339439,493.0
269461,588.0
326344,545.0
447763,524.0
113837,637.0
351469,554.0
338854,568.0
63031,585.0
81238,580.0
252152,587.0
65694,556.0
66308,604.0
35975,526.0
241891,572.0
222522,478.0
329790,614.0
80260,560.0
119262,505.0
43479,556.0
412392,545.0
363741,543.0
80680,579.0
165513,576.0
298569,484.0
126336,543.0
182977,466.0
323757,619.0
167340,512.0
297351,560.0
459289,439.0
409317,505.0
216441,499.0
273041,566.0
401509,597.0
74917,557.0
267208,468.0
255665,558.0
182453,538.0
414845,512.0
322667,575.0
219913,545.0
445984,546.0
434063,558.0
421222,527.0
419063,502.0
31080,572.0
409230,537.0
393651,524.0
173760,546.0
186231,486.0
354373,537.0
196166,521.0
290252,600.0
298916,583.0
374800,501.0
134690,520.0
334345,478.0
17078,518.0
219027,615.0
151318,576.0
128789,528.0
235679,519.0
40949,505.0
446890,538.0
215544,527.0
119482,553.0
296469,557.0
231479,564.0
25160,548.0
239006,581.0
258108,588.0
319724,631.0
84002,519.0
254467,604.0
14054,559.0
377616,531.0
206867,483.0
14954,595.0
320606,523.0
196336,622.0
295857,561.0
261831,539.0
390745,499.0
22793,556.0
410338,501.0
290686,569.0
284398,567.0
252428,537.0
36178,527.0
313141,591.0
230316,503.0
379381,489.0
289011,577.0
271015,562.0
148397,612.0
45378,599.0
385932,502.0
179571,531.0
20324,505.0
315540,591.0
333750,539.0
456685,494.0
291275,556.0
261995,567.0
20283,502.0
428988,558.0
285300,589.0
68190,561.0
411589,508.0
346406,596.0
375522,509.0
4510,566.0
121524,601.0
430211,419.0
133980,510.0
311512,615.0
256314,561.0
393040,634.0
204729,475.0
24269,530.0
156552,532.0
292569,523.0
111554,474.0
13026,543.0
191281,564.0
101204,590.0
436727,621.0
373149,558.0
404739,516.0
405693,558.0
237488,576.0
175243,463.0
374092,533.0
63011,540.0
117378,517.0
100012,564.0
206597,513.0
460624,697.0
11260,517.0
184003,476.0
432360,493.0
330036,580.0
233782,559.0
371729,627.0
130154,623.0
305307,603.0
130389,490.0
88221,542.0
413161,565.0
214248,530.0
224822,544.0
185622,614.0
463275,510.0
380434,620.0
257747,553.0
362364,558.0
358063,481.0
27050,519.0
314123,573.0
442406,490.0
291538,504.0
249002,527.0
224865,561.0
303309,486.0
317651,507.0
91507,488.0
351098,621.0
89648,446.0
271228,579.0
149221,551.0
428884,642.0
177351,515.0
116594,556.0
130399,506.0
121634,500.0
262989,558.0
386591,523.0
3727,488.0
38036,567.0
12680,527.0
202593,567.0
77927,591.0
16169,556.0
81901,558.0
152179,554.0
150278,523.0
5180,480.0
202679,543.0
419454,523.0
235361,557.0
243344,600.0
99623,586.0
269180,565.0
148148,504.0
416298,569.0
288902,505.0
53897,570.0
113373,597.0
254729,562.0
115813,541.0
167730,683.0
152926,557.0
424608,524.0
49930,559.0
365784,568.0
55282,591.0
